Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Above It All,Saint Asonia,Introvert,Rhythmic Journey,Playlist,GBUM72107465,2HnQrrYLWeftONffEVe6vm
Never Say,Otherwise,Peace at All Costs,Rhythmic Journey,Playlist,US4E41409306,6LYtXH7WO8wuRKxYgyKljB
Better Late Than Never,Saint Asonia,Introvert,Rhythmic Journey,Playlist,GBUM72107466,24T9ZGHFz1qHmerVHxmJrF
Wolves in the Dark,Throw The Fight,Wolves in the Dark,Rhythmic Journey,Playlist,QZFNA1900003,4EPqLny9OKeJU62kBVg4Fh
Chlorine,Twenty One Pilots,Trench,Rhythmic Journey,Playlist,USAT21810687,23OXdR7YuUBVWh5hSnYJau
The Hype,Twenty One Pilots,The Hype (Berlin),Rhythmic Journey,Playlist,USAT21810702,32OPMmonmxk7lLIvuKXZAz
Chew Me Up,Saint Asonia,Introvert,Rhythmic Journey,Playlist,GBUM72107467,6AdPRxOLOdZ9WUyO7Dstab
Walk Away,Otherwise,Peace at All Costs,Rhythmic Journey,Playlist,US4E41409309,4rrXxqqxru4O4v2i3uYoLF
Meet Me in the Dark,Otherwise,Peace at All Costs,Rhythmic Journey,Playlist,US4E41409313,1qZLqakWCazH0GtgdAItnj
Man on Fire,Otherwise,Peace at All Costs,Rhythmic Journey,Playlist,US4E41409314,5xEVRHqgtRohIbdoHhOxlz
Needles,Seether,Disclaimer II,Rhythmic Journey,Playlist,USWU30400068,4jtgjamRAXx8RsD3j4aA3X
Heart of a Champion,Silver End,Conquer the Silence,Rhythmic Journey,Playlist,NOGBV1801010,2btR1TEWFPxibWoQeHXCWC
Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,Random Access Memories,Rhythmic Journey,Playlist,USQX91300106,5CMjjywI0eZMixPeqNd75R
Lifeline,Bad Wolves,Dear Monsters,Rhythmic Journey,Playlist,USDPK2100106,1koxIMwzkdxekBrLkPtGsL
Valhalla,Smash Into Pieces,Disconnect,Rhythmic Journey,Playlist,QM6N22250210,4aRSlPq1itHwu9tUMx3Lz6
Heaven,Solence,Brothers,Rhythmic Journey,Playlist,QM6MZ1953425,1GxZnEcrRsvk6m7ur6MR4u
One More Night,From the Ash,One More Night,Rhythmic Journey,Playlist,QZES72045356,6yOWjWpJT0ml4Z6uN4ANml
Fearless,From the Ash,Fearless,Rhythmic Journey,Playlist,QZES92144433,1vzyDUIxBjCTQe3vibNbDT
Welcome to the Black Parade,My Chemical Romance,The Black Parade,Rhythmic Journey,Playlist,USRE10602613,5wQnmLuC1W7ATsArWACrgW
