Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
What It Takes,Adelitas Way,Shine On,Everything Green,Playlist,QMF921950055,6wXFPlgXTT3k757WSzS6CE
Forever,Late Night Savior,Into the Aftermath,Banned Bangers,Playlist,QZAPG1782045,5ZkiAjznT9M6LgJhEYBRFs
Blinding Lights,Saint Asonia,Introvert,Sentimental Zone,Playlist,GBUM72107472,6M8bRpPeeoatnpXgUz8KwP
Second Chance,Shinedown,The Sound of Madness,Everything Green,Playlist,USAT20802281,5AtRcGbmFeHtnbQ4k93UW7
Heathens,Smash Into Pieces,Heathens,Catchy But Careful,Playlist,QM6MZ2203596,42PD5CnANDCJkcLPPuH4Zd
Lifetime,Three Days Grace,EXPLOSIONS,Sentimental Zone,Playlist,USRC12103931,19dNZyDyw00aKgr6S0Os6e
I Don't Care - US Version,Apocalyptica,I Don't Care,Catchy But Careful,Playlist,GBHQD0800003,3bAoghFUTVwGYXYnzRqhCf
Still Broken,Plan Three,Screaming Our Sins,Sentimental Zone,Playlist,SEWLR0900401,0sOoRAMHTMLipnjbay3lUu
Torn to Pieces,Pop Evil,Onyx,Sentimental Zone,Playlist,USKO11300621,2BVBr2nf93k2cPJGU9DDeN
Martyrs,Saint Asonia,Flawed Design (Deluxe Edition),Sentimental Zone,Playlist,GBUM71904647,3BzVPZb7gYkoOIUwVgeScZ
Are You Ready,Three Days Grace,Three Days Grace (Expanded Edition),Catchy But Careful,Playlist,USJI10300127,5kzbtG4pIcu2s0SVrogm4o
Fly On the Wall,Thousand Foot Krutch,The End Is Where We Begin,Everything Green,Playlist,TCABF1202222,61nJplehv0WVUKMQX0pd8O
Angel,Theory of a Deadman,Savages,Sentimental Zone,Playlist,NLA321400207,2qJkesdHu9sMMVFgkRkqhQ
Wait for Me,Theory of a Deadman,Scars & Souvenirs,Everything Green,Playlist,NLA320786472,5eyyd20ebcrlVK8elBoycE
Vanguard,Smash Into Pieces,Disconnect,Everything Green,Playlist,QM4TW2289564,1ahcJD1n5bAzbgDGcLhWSW
Trying Not to Love You,Nickelback,Here and Now,Sentimental Zone,Playlist,NLA321191864,4Dq75eGDLZGM9EGP0XHbo2
Trip Switch,Nothing But Thieves,Nothing But Thieves (Deluxe),Everything Green,Playlist,GBARL1500806,1uqU0nq6DCbJMktSlUvQV8
Take Me Over,Red,of Beauty and Rage,Everything Green,Playlist,USA5W1400337,1xuuAhAwawrTuezA9nPVuL
Feed the Machine,Nickelback,Feed the Machine,Catchy But Careful,Playlist,QMRSZ1700233,6u0Z82GTYAP8ECjSCpudOE
Someday,Nickelback,"The Best of Nickelback, Vol. 1",Everything Green,Playlist,NLA321393043,3yThbrigNsoQK9Oi0CsSj7
So Far Away,Staind,14 Shades of Grey,Everything Green,Playlist,USEE10340188,6FOpPA0a80RuBqqgDozvja
So Far Away,Avenged Sevenfold,Nightmare,Sentimental Zone,Playlist,USWB11001436,1vl4jCsTEs8basRO7pKQ7f
Sleepwalking,Smash Into Pieces,Sleepwalking,Sentimental Zone,Playlist,QMDA72208167,123zv9wxx96UEtLLLiUYH5
Silent Majority,Nickelback,Feed the Machine,Everything Green,Playlist,QMRSZ1700241,55VPxQ8uspnErrEsTWukbn
A Shot in the Dark,Smash Into Pieces,Disconnect,Sentimental Zone,Playlist,QM4TX2235321,1wIshJU2ANUCz2NyTOfHoI
Savin' Me,Nickelback,All the Right Reasons,Catchy But Careful,Playlist,NLA320581344,4Gd9PUEuOTOJtbgd4YxLXM
Science & Faith,The Script,Science & Faith,Everything Green,Playlist,GBARL1000956,0cnouzAiEjdjXB5xVVQ8Vo
Save It for the Living,Smash Into Pieces,Rise and Shine,Sentimental Zone,Playlist,SEVWR1603006,702bu3mRoOq62IukM2ToyL
Salvation,Skillet,Rise,Everything Green,Playlist,USAT21301426,184kgoWfmOnbRu8JJMQHMG
Running Away from Home,Smash Into Pieces,A New Horizon,Sentimental Zone,Playlist,QM7282184572,4WtbSC67H1NMEO8DKW5PBv
Rise Up,Smash Into Pieces,A New Horizon,Everything Green,Playlist,QMFMF2022738,3c2tiAde9rMkVwWznIkPLt
Right Here,Staind,Chapter V,Catchy But Careful,Playlist,USEE10501098,36IkR2i4HaV3SRsSHzje6v
The Rain,Smash Into Pieces,Disconnect,Everything Green,Playlist,QMDA62186671,7tRAtqElmPIrfw7xpbT2du
Perfect,Simple Plan,Perfect,Sentimental Zone,Playlist,USAT20200143,4x5xIB7C8bU0YdVZvrtsbx
Outside,Staind,Break the Cycle,Sentimental Zone,Playlist,USEE10100309,5D6rk7Zr7FRy5m2fDte5fp
Over and Over,Three Days Grace,One-X,Sentimental Zone,Playlist,USJI10600160,6Dtq63g5m2sMIVd1Aw9ZDD
On My Own,Three Days Grace,One-X,Sentimental Zone,Playlist,USJI10600156,4FGQwSKgEykxtBwb2px8ug
Nothing's Fair In Love and War,Three Days Grace,Human,Catchy But Careful,Playlist,USRC11500216,1E3elyeDZawq8JlTEIrCvL
Not Meant to Be,Theory of a Deadman,Scars & Souvenirs,Sentimental Zone,Playlist,NLA320786467,5cm4TAuPmAT1waXKcxK3E6
Never Too Late,Three Days Grace,One-X,Sentimental Zone,Playlist,USJI10600166,3HE50TVRquwXe9yv2HFoNL
My Wildest Dream,Smash Into Pieces,VR,Catchy But Careful,Playlist,QM4TX2155105,6ES48fx4tk6GprDSZOlwNc
My Sacrifice,Creed,Weathered,Everything Green,Playlist,USWU30107501,2VSbEXqs6NbNiZSTcHlIDR
Until the World Goes Cold,Trivium,Silence in the Snow (Special Edition),Everything Green,Playlist,NLA321500169,1hPKSQuvfLlPeIu8xhRyTf
Gone,coldrain,VENA,Sentimental Zone,Playlist,USHR21586002,6Aslruh5oCnzDKWTALrHOZ
Real One,Smash Into Pieces,A New Horizon (Deluxe Edition),Everything Green,Playlist,QM4TW2164025,0ZiznMom4sXQ1wrPtGG6y0
The Reason,Hoobastank,The Reason (20th Anniversary),Everything Green,Playlist,USIR20300704,5B5eTk7DF8KVp1zpQoY1XY
A New Horizon,Smash Into Pieces,A New Horizon (Deluxe Edition),Everything Green,Playlist,QM7282184738,03ayiTBv870Hypqb9xJnCZ
Lullaby,Nickelback,Here and Now,Sentimental Zone,Playlist,NLA321191862,2vBiZ7nBe0OqTZKWGP0s4K
Love You to Death,Kamelot,Ghost Opera: The Second Coming,Catchy But Careful,Playlist,QM3MF1600038,6rk1GkYANsprPf2ML6N6Uv
World So Cold,12 Stones,Anthem For The Underdog (Bonus Track Version),Sentimental Zone,Playlist,USWU30700047,471eQ7hcJ7JdGY1NzMmUeg
Welcome to My Life,Simple Plan,Welcome to My Life,Sentimental Zone,Playlist,USAT20402001,721r64Q3st2WtFoWlzARce
Snuff - 2012 Remaster,Slipknot,Antennas to Hell (Special Edition),Catchy But Careful,Playlist,NLA321292284,633JrSIrIyyrFlrzv1W8Zi
SING,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Everything Green,Playlist,USRE11000889,7l5PegKXe4o1D1XImvSLL9
