Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Wrecked,Imagine Dragons,Wrecked,Calm Waters,Playlist,USUM72110166,2d1MywHy6FwKdzxFuSJnwl
Carry On,The Score,Carry On,Calm Waters,Playlist,USUM72014842,58hzFlHm1gKIJzRMSt0vWV
I Don't Wanna Go,Alan Walker,Different World,Calm Waters,Playlist,NOG841813030,7kVDkZkZc8qBUBsF6klUoY
All Falls Down (feat. Juliander),Alan Walker,All Falls Down (feat. Juliander),Calm Waters,Playlist,NOG841715010,5yFSF6qQA1rcLsQRnBsZgb
Whatever It Takes,Imagine Dragons,Evolve,Calm Waters,Playlist,USUM71703515,6Qn5zhYkTa37e91HC1D7lb
80's Comedown Machine,The Strokes,Comedown Machine,Calm Waters,Playlist,USRC11300079,2lffRiAET2Xt6BNb4EmkS2
Mad Mad World,Shaggy,Intoxication,Calm Waters,Playlist,USVPR0713595,3hPbdPIXZPpyywSxnKNtYh
The House of the Rising Sun,The Animals,The House of the Rising Sun: Best of The Animals,Calm Waters,Playlist,GBAYE6400209,3TETmhGNWOcquUTtcr6RIR
Warmness On The Soul,Avenged Sevenfold,Sounding The Seventh Trumpet,Calm Waters,Playlist,USHR20323007,018zT8xThRbMH2QeUoMlKQ
Six Feet Under - Acoustic,Smash Into Pieces,Six Feet Under (Acoustic),Calm Waters,Playlist,QM6P42351010,3l6VGCbIPPcFkPDTL5Exdg
Something In The Way,Nirvana,Nevermind (Remastered),Calm Waters,Playlist,USGF19942512,4gHnSNHs8RyVukKoWdS99f
Head Up,The Score,Head Up,Calm Waters,Playlist,USA2P2125225,0Di4xlEas5KZ4pF52Vb2tG
Asking for It,Shinedown,Threat to Survival,Calm Waters,Playlist,USAT21502572,3Tp7y0bLogDQsIO5tTTOH4
Darkness,Disturbed,Believe,Calm Waters,Playlist,USRE10200806,4Th9lT4F8yK09csxPBYfRG
Jailhouse Rock,Elvis Presley,Elvis 30 #1 Hits,Calm Waters,Playlist,USRC10200071,6pyex9B1kBoRIuabBAc4m8
The Sound of Silence - Acoustic Version,Simon & Garfunkel,"Wednesday Morning, 3 A.M.",Calm Waters,Playlist,USSM16401419,5y788ya4NvwhBznoDIcXwK
Hey Jude - Remastered 2015,The Beatles,1 (Remastered),Calm Waters,Playlist,GBUM71505902,0aym2LBJBk9DAYuHHutrIl
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,Calm Waters,Playlist,GBAYE0800265,1mea3bSkSGXuIRvnydlB5b
Rolling in the Deep,Adele,21,Calm Waters,Playlist,GBBKS1000335,4OSBTYWVwsQhGLF9NHvIbR
Rolling in the Deep,Vazquez Sounds,Rolling in the Deep,Calm Waters,Playlist,MXF011200013,5ItpwLOgLKmCV1caENPmIB
Hello,Adele,25,Calm Waters,Playlist,GBBKS1500214,1Yk0cQdMLx5RzzFTYwmuld
STAY (with Justin Bieber),The Kid LAROI,STAY (with Justin Bieber),Calm Waters,Playlist,USSM12103949,5HCyWlXZPP0y6Gqq8TgA20
She's Casual,The Hunna,100,Calm Waters,Playlist,GBB6K1500010,77KMqmYgnKSDkGvj7qdhaZ
The House of the Rising Sun (Rerecorded),The Animals,The Animals: All-Time Greatest Hits (Rerecorded Version),Calm Waters,Playlist,USDEI9605910,6pzpdOsCZJVxCKDCyAxNE3
Iris,The Goo Goo Dolls,Greatest Hits Volume One - The Singles,Calm Waters,Playlist,USWB10704707,6vrUTGn5p8IrfTZ0J6sIVM
The Experiment (with Shye),Steampianist,The Experiment (with Shye),Calm Waters,Playlist,GBSMU6009207,37DXYULJuFlYAuUC08NQ8E
Won't Let Go,Fivefold,Open Letter,Calm Waters,Playlist,QME651500008,2URRsQwPp6EaSvcoMAfadn
Heavy (feat. Kiiara),Linkin Park,One More Light,Calm Waters,Playlist,USWB11700188,104buTcnP2AsxqB7U1FIZ4
Fragments of Time (feat. Todd Edwards),Daft Punk,Random Access Memories,Calm Waters,Playlist,USQX91300111,0IedgQjjJ8Ad4B3UDQ5Lyn
Waltz In c Sharp Minor Opus 64 No. 2,Chopin Frederic,World Famous Series: Chopin Waltzes,Calm Waters,Playlist,CNF310441504,1Nf9pTBkenS7c9bTDR7urw
The Latter Teens,Vansire,After Fillmore County,Calm Waters,Playlist,QZMEM2059261,6qr6qpP9J9YBBYsVmJFd5c
Good News,Shaboozey,Good News,Calm Waters,Playlist,USUYG1580113,54p6vNJwGkt4FTaM8SCsxt
A un minuto de ti,Mikel Erentxun,Naufragios,Calm Waters,Playlist,ES5019269000,7HlULtRMJSTzorUMebka0f
New Day Coming,Scott Stapp,Proof Of Life,Calm Waters,Playlist,USWU31300132,0Rgbjl3FgpWk6gvf3OZ5MA
Rain,Unprocessed,Gold,Calm Waters,Playlist,DEUM72117524,1xdP3jXn5x8o0GyktjWRrn
What He'll Never Have,Dylan Scott,Livin' My Best Life (Still),Calm Waters,Playlist,USCRB2400015,61SRKyox0R9jCzci4JXKBS
Are You Bored Yet? (feat. Clairo),Wallows,Nothing Happens,Calm Waters,Playlist,USAT21812258,57RA3JGafJm5zRtKJiKPIm
??????????,THE COLLECTORS,Roll Up The Collectors,Calm Waters,Playlist,JPCO01638390,7phYcYhfJSCGUxGgshouKA
DEVIL YOU KNOW,Tyler Braden,DEVIL YOU KNOW,Calm Waters,Playlist,USWB12400281,6tWGe6nvXFWT0KhGCXM89q
End of Beginning,Djo,DECIDE,Calm Waters,Playlist,GBKPL2205058,3qhlB30KknSejmIvZZLjOD
Selfless,The Strokes,The New Abnormal,Calm Waters,Playlist,USRC11902727,2t0wwvR15fc3K1ey8OiOaN
Bottom Of The Deep Blue Sea,MISSIO,Loner,Calm Waters,Playlist,USRC11700411,6AvslIXIi9iaGvukefyVVK
Out of Place,Haven't Thought,Out of Place,Calm Waters,Playlist,QZHNA2380815,5uv3pbiEOySRfBf94nV3MS
Planets,Adema,Planets,Calm Waters,Playlist,GBBPB0702292,3IoQ4XvuULBkLv0oqk3Wdf
Godsent,Smash Into Pieces,Arcadia,Calm Waters,Playlist,SEVWR2001601,4cbQdm6jIe3x19uCm65kH5
The Line (from the series Arcane League of Legends),Arcane,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),Calm Waters,Playlist,USA2P2459604,1QJbDTZAO8rpGOMG4UahFM
Absolution (Sign of Life),Imaginary Colors,Absolution (Sign of Life),Calm Waters,Playlist,USY242470368,6qE47tG0BKXfYx3AAv6AN7
Relapse,Warren Zeiders,Relapse,Calm Waters,Playlist,USWB12402402,78DcrUOhBhVod09vFiXn7P
Skin Deep,Memory of a Melody,Things That Make You Scream,Calm Waters,Playlist,TCABA1160179,1AaS7C81keJVbHbMaRebAN
Dark Necessities,Red Hot Chili Peppers,The Getaway,Calm Waters,Playlist,USWB11600478,2oaK4JLVnmRGIO9ytBE1bt
Lamentable,José Madero,Psalmos,Calm Waters,Playlist,MXUM71902340,0528zzl5wyPCfzMbSmcW71
Día de Mayo,José Madero,Sarajevo,Calm Waters,Playlist,MXUM72400203,5tiThznlm5SwQvHIUiCsmU
Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Calm Waters,Playlist,DEUM71807062,7qEHsqek33rTcFNT9PFqLf
Let Her Go,Passenger,All The Little Lights,Calm Waters,Playlist,GBMQN1200012,1KxwZYyzWNyZSRyErj2ojT
Waves,Imagine Dragons,Mercury - Acts 1 & 2,Calm Waters,Playlist,USUM72205470,0YbFEoJi7Esa7lhIrEpBjl
I Think You Should Know,Crossfade,We All Bleed,Calm Waters,Playlist,USDPK1077207,3NzWB8uTqpI7tOjb7rUywF
Para Siempre,Vicente Fernández,Vicente Fernandez Para Siempre,Calm Waters,Playlist,MXF010700412,0uyVgmoXDbwS1ubv8AurVZ
Luna - En Vivo,Zoé,MTV Unplugged Música De Fondo (Reissue/Live),Calm Waters,Playlist,MXF061100015,7b3k8I1fncAzbk9PHnLkbX
fantasmas,HUMBE,DUEÑO DEL CIELO,Calm Waters,Playlist,MXH912300041,4mmt6QpIOOn5ySzKWB6qOB
Cold - Acoustic,Crispin Earl,Covers Collection Vol.2,Calm Waters,Playlist,QZQAY2417128,3CaTxrgXTRkKDKiiQiNNNc
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,Calm Waters,Playlist,USUM72401994,6dOtVTDdiauQNBQEDOtlAB
...Ready For It?,Taylor Swift,reputation,Calm Waters,Playlist,USCJY1750003,2yLa0QULdQr0qAIvVwN6B5
End Game,Taylor Swift,reputation,Calm Waters,Playlist,USCJY1750004,2x0WlnmfG39ZuDmstl9xfX
Delicate,Taylor Swift,reputation,Calm Waters,Playlist,USCJY1750007,6NFyWDv5CjfwuzoCkw47Xf
The Prophecy,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Calm Waters,Playlist,USUG12402548,18WFFUIsewmA8g31KAeo3e
Enjoy the Silence,Depeche Mode,The Singles 86-98,Calm Waters,Playlist,GBAJH9800146,6WK9dVrRABMkUXFLNlgWFh
