Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Paradise,Smash Into Pieces,Evolver,Full Volume,Playlist,SEVWR1803807,0Tm6dXBqy3gnq1dAQS8KKV
Cross Off,Mark Morton,Anesthetic,Full Volume,Playlist,GBUM71807295,3EAeH1G0BoxQIX8SmgjqAy
It's All Over,Three Days Grace,One-X,Full Volume,Playlist,USJI10600161,2QZxpZDfJjhEGclSszvMVX
Life Starts Now,Three Days Grace,Life Starts Now,Full Volume,Playlist,USJI10900551,4Rtc87aysfzgqRMFcSqWme
In Your Eyes (feat. Alida),Robin Schulz,In Your Eyes (feat. Alida),Full Volume,Playlist,DEA621901341,61ZM92T2zaXIVsqncThQzC
Waiting On The Sky To Change,STARSET,Waiting On The Sky To Change,Full Volume,Playlist,QM6N22291801,5qMSuD0mfQVQSA0CjifBi0
Metalingus,Alter Bridge,One Day Remains,Full Volume,Playlist,USWU30400101,3UULkHdmLDqBDPmBYltoRE
The Antidote,Story Of The Year,The Black Swan,Full Volume,Playlist,USEP40730103,7yGhfjsppOXSLcoSwcJ1yT
The Heart from Your Hate,Trivium,The Sin and the Sentence,Full Volume,Playlist,NLA321700256,5yDJpu0xh0d1w13gXaE3lS
Scars That I'm Hiding,From Ashes to New,Scars That I'm Hiding,Full Volume,Playlist,USDPK2000122,55kdMY5jMiMzuNai2ablde
When Legends Rise,Godsmack,When Legends Rise,Full Volume,Playlist,QMRSZ1703236,7ky7RfqSDqnCTK7YPPlIYQ
Another Life,Motionless In White,Disguise,Full Volume,Playlist,NLA321900085,0YZEYxd1oiqZRFhnnmTKKi
The Reckoning,Within Temptation,The Reckoning,Full Volume,Playlist,NLR261800010,4GSjFSK1SM78wPTVbsSB0S
Crossfire,Otherwise,Defy,Full Volume,Playlist,NLB931903003,1e0AQPT1PJSM15eeVBOIET
Are You Ready,Disturbed,Evolution,Full Volume,Playlist,USRE11800534,4zvqMZ6g4wKZaPpOQvoBpP
Danger Line,Avenged Sevenfold,Nightmare,Full Volume,Playlist,USWB11001433,5mbXd14GteojYPpciTLYDk
Unbroken,Ashes Remain,What I've Become,Full Volume,Playlist,USM2C1100706,5jYuXlJIkzjs34aYX7U92I
Buried Alive,Avenged Sevenfold,Nightmare,Full Volume,Playlist,USWB11001434,4veeNpXDK1YRHMTJ1Cppsg
Brain Power,Florian Rehn,Brain Power,Full Volume,Playlist,QZK6N1918712,3FmQ9KdqlkkIxZZmPmwzDA
Soldiers,Otherwise,Soldiers,Full Volume,Playlist,TCABA1104123,1iWgFnhR0oW5Mup8yXDAPW
Broken Glass,Three Days Grace,Transit Of Venus,Full Volume,Playlist,USRC11200920,6rpAJECCjVZG3cNt7o9xBv
By the Way,Theory of a Deadman,Scars & Souvenirs,Full Volume,Playlist,NLA320786459,0QtGlWZLGyN7W9HzmwESza
Comfortable Liar,Chevelle,Wonder What's Next (Expanded Edition),Full Volume,Playlist,USSM10201528,412LyfktkgWKEn8kmKiyQe
Glass House,Red,Release The Panic,Full Volume,Playlist,USA5W1200399,2HX1UD4budkrQ3w5yBv65f
Boulevard of Broken Dreams,Green Day,Boulevard of Broken Dreams,Full Volume,Playlist,USRE10401426,1hwJKpe0BPUsq6UUrwBWTw
A Little Piece of Heaven,Avenged Sevenfold,Avenged Sevenfold,Full Volume,Playlist,USWB10704000,5HxiBWZ0bQRlUkdwSv1eNU
The Red,Chevelle,Wonder What's Next (Expanded Edition),Full Volume,Playlist,USSM10201531,1gyee1JuFFiP476LQpRMYU
Vitamin R (Leading Us Along),Chevelle,This Type Of Thinking (Could Do Us In),Full Volume,Playlist,USSM10410125,04NGX0b5Tgs7VsErfn5OA1
Jars,Chevelle,Sci-Fi Crimes,Full Volume,Playlist,USSM10903699,0CD1Hybzpwc9Av6iRI2xjr
That Day,Nonpoint,Nonpoint,Full Volume,Playlist,USRZR1233408,7nobjDCjkn6Y8UDQFt2mga
Afterlife,Avenged Sevenfold,Avenged Sevenfold,Full Volume,Playlist,USWB10703995,4QdwsME04RG25KPHcPYoox
Overburdened,Disturbed,Ten Thousand Fists,Full Volume,Playlist,USRE10501018,71qQhkbrt4gVbovwbzHLpE
Break Me Down (2016 Remastered),Red,End of Silence: 10th Anniversary Edition,Full Volume,Playlist,USA5W1600076,380FZBQts4JPGezpDux69V
No More,Disturbed,Evolution,Full Volume,Playlist,USRE11800600,0IdNBZt0O8R9qBgezYFGOi
Flow,Smash Into Pieces,Flow,Full Volume,Playlist,QM6P42375730,2NB6ACcaEct5ha069bXw7P
The Night,Disturbed,Indestructible (Deluxe Edition),Full Volume,Playlist,USRE10800129,4pADXqX5x76fDS8RmyvgwO
